Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,10728.219727,10749.389648,10683.919922,10683.919922,10683.919922,2850600
2017-11-14,10716.589844,10735.080078,10654.580078,10687.179688,10687.179688,2676900
2017-11-15,10662.080078,10669.589844,10600.259766,10630.650391,10630.650391,2325600
2017-11-16,10629.160156,10666.660156,10609.230469,10625.040039,10625.040039,2189300
2017-11-17,10673.429688,10729.450195,10673.429688,10701.639648,10701.639648,2471200
2017-11-20,10706.790039,10728.389648,10656.179688,10664.549805,10664.549805,2503700
2017-11-21,10688.219727,10787.580078,10687.259766,10779.240234,10779.240234,3285200
2017-11-22,10815.400391,10882.650391,10801.099609,10822.589844,10822.589844,3911700
2017-11-23,10837.610352,10872.290039,10809.089844,10854.570313,10854.570313,2681100
2017-11-24,10847.790039,10873.910156,10833.780273,10854.089844,10854.089844,2746900
2017-11-27,10836.820313,10856.000000,10746.740234,10750.929688,10750.929688,2668100
2017-11-28,10733.559570,10752.580078,10692.530273,10707.070313,10707.070313,2961000
2017-11-29,10735.240234,10762.910156,10697.620117,10713.549805,10713.549805,3096300
2017-11-30,10623.200195,10650.179688,10560.440430,10560.440430,10560.440430,4939100
2017-12-01,10591.620117,10665.919922,10495.150391,10600.370117,10600.370117,3776200
2017-12-04,10617.269531,10665.429688,10565.679688,10651.110352,10651.110352,2864500
2017-12-05,10607.620117,10635.709961,10540.740234,10566.849609,10566.849609,3126100
2017-12-06,10541.030273,10541.030273,10376.650391,10393.919922,10393.919922,3022600
2017-12-07,10404.419922,10418.969727,10322.759766,10355.759766,10355.759766,2740500
2017-12-08,10406.349609,10419.280273,10336.259766,10398.620117,10398.620117,2683800
2017-12-11,10438.330078,10504.669922,10438.330078,10473.089844,10473.089844,2334200
2017-12-12,10488.730469,10495.240234,10408.059570,10443.280273,10443.280273,2164400
2017-12-13,10447.110352,10489.169922,10444.700195,10470.700195,10470.700195,2324000
2017-12-14,10494.599609,10577.530273,10494.599609,10538.009766,10538.009766,2447400
2017-12-15,10517.209961,10520.660156,10436.110352,10491.440430,10491.440430,2590700
2017-12-18,10478.740234,10526.410156,10472.389648,10506.519531,10506.519531,1861300
2017-12-19,10508.330078,10544.000000,10452.080078,10467.339844,10467.339844,2190500
2017-12-20,10470.360352,10514.309570,10470.360352,10504.519531,10504.519531,2155800
2017-12-21,10526.969727,10545.780273,10488.969727,10488.969727,10488.969727,2116400
2017-12-22,10503.099609,10537.269531,10486.519531,10537.269531,10537.269531,2049900
2017-12-25,10546.639648,10556.650391,10514.540039,10522.490234,10522.490234,1928200
2017-12-26,10526.139648,10528.919922,10408.120117,10421.910156,10421.910156,2037800
2017-12-27,10419.809570,10497.769531,10419.809570,10486.669922,10486.669922,2103300
2017-12-28,10513.290039,10592.040039,10513.290039,10567.639648,10567.639648,2223700
2017-12-29,10590.950195,10659.980469,10590.950195,10642.860352,10642.860352,2411700
2018-01-02,10664.820313,10710.730469,10650.769531,10710.730469,10710.730469,2375900
2018-01-03,10759.610352,10813.160156,10759.610352,10801.570313,10801.570313,2964800
2018-01-04,10834.580078,10853.459961,10794.250000,10848.629883,10848.629883,3048500
2018-01-05,10856.919922,10879.799805,10815.679688,10879.799805,10879.799805,3028400
2018-01-08,10899.089844,10918.469727,10869.120117,10915.750000,10915.750000,3246900
2018-01-09,10922.349609,10931.000000,10860.769531,10914.889648,10914.889648,2933100
2018-01-10,10915.320313,10934.750000,10819.250000,10831.089844,10831.089844,3224000
2018-01-11,10824.540039,10844.080078,10770.099609,10810.059570,10810.059570,2736200
2018-01-12,10818.240234,10899.980469,10818.240234,10883.959961,10883.959961,2900300
2018-01-15,10932.370117,10962.549805,10911.889648,10956.309570,10956.309570,2672500
2018-01-16,10955.809570,10986.110352,10920.500000,10986.110352,10986.110352,2943900
2018-01-17,10976.129883,11030.219727,10942.950195,11004.799805,11004.799805,3337400
2018-01-18,11048.059570,11122.820313,11048.059570,11071.570313,11071.570313,3069900
2018-01-19,11123.580078,11150.849609,11095.849609,11150.849609,11150.849609,2661500
2018-01-22,11169.790039,11231.459961,11142.379883,11231.459961,11231.459961,3222600
2018-01-23,11243.490234,11270.179688,11201.519531,11253.110352,11253.110352,3399800
2018-01-24,11228.709961,11228.709961,11107.320313,11152.160156,11152.160156,3171100
2018-01-25,11154.360352,11268.610352,11131.849609,11165.950195,11165.950195,3457900
2018-01-26,11152.530273,11178.299805,11089.480469,11147.099609,11147.099609,2701400
2018-01-29,11202.269531,11246.179688,11161.830078,11221.809570,11221.809570,2450400
2018-01-30,11189.570313,11189.570313,11076.780273,11076.780273,11076.780273,2709200
2018-01-31,11054.360352,11158.290039,11007.889648,11103.790039,11103.790039,2642900
2018-02-01,11139.400391,11212.099609,11139.400391,11160.250000,11160.250000,2257600
2018-02-02,11151.650391,11153.320313,11070.429688,11126.230469,11126.230469,2023400
2018-02-05,10970.299805,10970.299805,10855.429688,10946.250000,10946.250000,2393600
2018-02-06,10761.009766,10761.009766,10300.400391,10404.000000,10404.000000,5183600
2018-02-07,10547.639648,10697.820313,10547.639648,10551.540039,10551.540039,3145300
2018-02-08,10559.440430,10609.500000,10512.929688,10528.519531,10528.519531,2287100
2018-02-09,10371.009766,10392.309570,10189.040039,10371.750000,10371.750000,2895400
2018-02-12,10429.089844,10473.509766,10416.009766,10421.089844,10421.089844,2387100
2018-02-21,10559.790039,10720.480469,10559.790039,10714.440430,10714.440430,2770600
2018-02-22,10698.469727,10698.469727,10620.799805,10662.379883,10662.379883,2385800
2018-02-23,10688.969727,10799.290039,10688.969727,10794.549805,10794.549805,2623500
2018-02-26,10827.980469,10890.690430,10827.980469,10836.700195,10836.700195,2295300
2018-02-27,10896.160156,10937.900391,10815.469727,10815.469727,10815.469727,2697700
2018-03-01,10779.099609,10805.549805,10709.690430,10785.790039,10785.790039,2508100
2018-03-02,10719.290039,10719.290039,10638.980469,10698.169922,10698.169922,2135500
2018-03-05,10727.450195,10756.370117,10642.900391,10642.900391,10642.900391,2203900
2018-03-06,10711.150391,10784.339844,10711.150391,10784.339844,10784.339844,1905900
2018-03-07,10762.990234,10818.049805,10745.320313,10745.320313,10745.320313,2106300
2018-03-08,10788.429688,10852.330078,10788.429688,10823.240234,10823.240234,2535200
2018-03-09,10847.740234,10882.759766,10845.379883,10864.820313,10864.820313,2457800
2018-03-12,10908.990234,11016.559570,10908.990234,11002.099609,11002.099609,2759800
2018-03-13,11022.150391,11095.629883,11014.870117,11095.629883,11095.629883,2433800
2018-03-14,11063.730469,11070.290039,11015.469727,11038.799805,11038.799805,2331000
2018-03-15,11039.599609,11052.110352,11008.179688,11018.450195,11018.450195,2124400
2018-03-16,11010.240234,11054.860352,10933.459961,11027.700195,11027.700195,3071600
2018-03-19,11004.809570,11066.000000,10983.250000,11046.900391,11046.900391,2206800
2018-03-20,11016.849609,11020.780273,10981.040039,11010.839844,11010.839844,2159800
2018-03-21,11037.349609,11072.309570,11011.070313,11011.070313,11011.070313,2360400
2018-03-22,11045.900391,11120.200195,10975.330078,11005.839844,11005.839844,2637400
2018-03-23,10863.669922,10863.669922,10758.059570,10823.330078,10823.330078,2618800
2018-03-26,10783.570313,10840.049805,10781.429688,10840.049805,10840.049805,2048600
2018-03-27,10901.690430,10986.790039,10901.690430,10986.790039,10986.790039,2297400
2018-03-28,10939.969727,10939.969727,10853.480469,10865.660156,10865.660156,1953100
2018-03-29,10855.660156,10889.599609,10815.459961,10845.919922,10845.919922,2158300
2018-03-30,10905.299805,10969.219727,10905.299805,10906.219727,10906.219727,2263300
2018-04-02,10936.259766,10969.879883,10882.049805,10888.269531,10888.269531,2071400
2018-04-03,10837.540039,10837.540039,10775.450195,10821.530273,10821.530273,2124100
2018-04-09,10880.139648,10904.750000,10829.019531,10893.530273,10893.530273,2664500
2018-04-10,10885.639648,10975.669922,10874.830078,10927.179688,10927.179688,2943400
2018-04-11,10961.700195,11016.349609,10953.309570,10974.019531,10974.019531,2560400
2018-04-12,10984.120117,11008.200195,10920.620117,10955.290039,10955.290039,2248200
2018-04-13,10975.580078,10988.230469,10938.370117,10965.389648,10965.389648,2400400
2018-04-16,10962.360352,10974.940430,10921.169922,10954.549805,10954.549805,2341000
2018-04-17,10953.509766,10965.200195,10799.070313,10810.450195,10810.450195,2646400
2018-04-18,10842.879883,10917.599609,10809.889648,10847.889648,10847.889648,2189700
2018-04-19,10891.660156,10983.959961,10889.709961,10971.219727,10971.219727,2490200
2018-04-20,10802.419922,10831.559570,10770.049805,10779.379883,10779.379883,2349600
2018-04-23,10756.889648,10774.730469,10687.250000,10697.129883,10697.129883,2324700
2018-04-24,10680.379883,10692.190430,10540.150391,10579.500000,10579.500000,2664800
2018-04-25,10541.830078,10573.730469,10489.200195,10559.969727,10559.969727,2555100
2018-04-26,10583.080078,10618.679688,10478.980469,10488.580078,10488.580078,2633700
2018-04-27,10546.290039,10573.610352,10495.669922,10553.429688,10553.429688,2079000
2018-04-30,10553.410156,10660.610352,10539.629883,10657.879883,10657.879883,2120800
2018-05-02,10665.519531,10683.900391,10601.099609,10618.809570,10618.809570,2252100
2018-05-03,10578.980469,10578.980469,10509.030273,10514.179688,10514.179688,2113300
2018-05-04,10516.450195,10566.370117,10500.969727,10529.370117,10529.370117,2055900
2018-05-07,10581.780273,10632.620117,10555.559570,10604.910156,10604.910156,1965200
2018-05-08,10610.440430,10691.379883,10609.040039,10691.379883,10691.379883,2300800
2018-05-09,10692.889648,10748.599609,10689.809570,10703.349609,10703.349609,2414400
2018-05-10,10731.679688,10782.059570,10731.679688,10760.209961,10760.209961,2472700
2018-05-11,10808.400391,10874.629883,10808.400391,10858.980469,10858.980469,2782800
2018-05-14,10938.299805,10970.240234,10908.860352,10952.389648,10952.389648,2550800
2018-05-15,10965.080078,10978.379883,10874.730469,10874.730469,10874.730469,2652800
2018-05-16,10873.540039,10915.740234,10865.070313,10897.570313,10897.570313,2905400
2018-05-17,10911.740234,10938.629883,10833.809570,10833.809570,10833.809570,2510000
2018-05-18,10844.089844,10893.349609,10819.070313,10830.839844,10830.839844,2570800
2018-05-21,10861.660156,10979.099609,10861.660156,10966.200195,10966.200195,2401700
2018-05-22,10986.769531,11034.120117,10938.730469,10938.730469,10938.730469,2535800
